title,n_human_reviews,baseline_jacc_mean,baseline_jacc_max,trained_jacc_mean,trained_jacc_max,baseline_sbert_mean,baseline_sbert_max,trained_sbert_mean,trained_sbert_max
A General Upper Bound for Unsupervised Domain Adaptation | OpenReview,3,0.13520036795898863,0.15987460815047022,0.17908208904707815,0.1951219512195122,0.6893097360928854,0.7555010914802551,0.6884185075759888,0.7239500880241394
A Generalized Framework of Sequence Generation with Application to Undirected Sequence Models | OpenReview,3,0.13505063194963485,0.14506172839506173,0.1557800118424584,0.17549668874172186,0.6381769975026449,0.7054194211959839,0.44175920883814496,0.5147024393081665
A Generalized Training Approach for Multiagent Learning | OpenReview,3,0.1074932074932075,0.12162162162162163,0.12705134839859697,0.1318181818181818,0.5747498770554861,0.7041864991188049,0.6396544973055521,0.7032954692840576
A Generative Model for Molecular Distance Geometry | OpenReview,3,0.10942661913250147,0.11764705882352941,0.14513275437926185,0.18387096774193548,0.6015836199124655,0.6521234512329102,0.5938042203585306,0.670620322227478
A GOODNESS OF FIT MEASURE FOR GENERATIVE NETWORKS | OpenReview,3,0.1363373375370174,0.14150943396226415,0.1331609386572471,0.1414141414141414,0.7877901196479797,0.8680325746536255,0.7318260471026102,0.7907955050468445
A Gradient-Based Approach to Neural Networks Structure Learning | OpenReview,3,0.14914198905325024,0.15481171548117154,0.15814569789936359,0.17355371900826447,0.5102741916974386,0.6003051996231079,0.5831023454666138,0.6025195121765137
A Graph Neural Network Assisted Monte Carlo Tree Search Approach to Traveling Salesman Problem | OpenReview,3,0.11273329720031271,0.13019390581717452,0.1636919128780846,0.17630057803468208,0.3709792693456014,0.4563155770301819,0.6515770753224691,0.7217251062393188
A Greedy Approach to Max-Sliced Wasserstein GANs | OpenReview,3,0.12105647392991109,0.140893470790378,0.1592195541096054,0.17391304347826086,0.6119892497857412,0.7109649181365967,0.66856316725413,0.7092809081077576
A Group-Theoretic Framework for Knowledge Graph Embedding | OpenReview,3,0.12475092579680502,0.14553990610328638,0.1291770414158725,0.17297297297297298,0.616930882136027,0.6758778095245361,0.5421597361564636,0.6319413185119629
A Hierarchy of Graph Neural Networks Based on Learnable Local Features | OpenReview,3,0.11953037252169414,0.14948453608247422,0.1299062439126298,0.13157894736842105,0.5554080804189047,0.6540899276733398,0.5371491511662801,0.6463906764984131
A Kolmogorov Complexity Approach to Generalization in Deep Learning | OpenReview,4,0.13053021447796306,0.14468085106382977,0.13597222403311282,0.1576923076923077,0.6614060699939728,0.7388647794723511,0.6026550233364105,0.6641979217529297
A Latent Morphology Model for Open-Vocabulary Neural Machine Translation | OpenReview,3,0.13580008321316114,0.15546218487394958,0.14930065010645188,0.1722689075630252,0.6638836065928141,0.7186760902404785,0.3970292607943217,0.4320031702518463
A Learning-based Iterative Method for Solving Vehicle Routing Problems | OpenReview,3,0.10114004150298717,0.11009174311926606,0.13662149106693336,0.1497326203208556,0.6638915737469991,0.7475112676620483,0.5327874720096588,0.5937196016311646
A Mean-Field Theory for Kernel Alignment with Random Features in Generative Adverserial Networks | OpenReview,3,0.13276059564719359,0.16494845360824742,0.12375986210606733,0.12849162011173185,0.7382317980130514,0.7694041728973389,0.42790048321088153,0.47182193398475647
A Mechanism of Implicit Regularization in Deep Learning | OpenReview,3,0.13182024244471371,0.16597510373443983,0.15702746530808595,0.189873417721519,0.6651751001675924,0.6929526329040527,0.6845627824465433,0.6945067048072815
A Mention-Pair Model of Annotation with Nonparametric User Communities | OpenReview,4,0.13717795112649725,0.140893470790378,0.15520637938989273,0.19850187265917604,0.6633128821849823,0.7604268193244934,0.6472741812467575,0.678837776184082
A Meta-Transfer Objective for Learning to Disentangle Causal Mechanisms | OpenReview,3,0.1281183706359256,0.14726027397260275,0.14017178867403315,0.1484375,0.6870643496513367,0.7455034852027893,0.5263218283653259,0.5863401293754578
A multi-task U-net for segmentation with lazy labels | OpenReview,3,0.13835975854185964,0.15083798882681565,0.15755739632868027,0.18902439024390244,0.6119804382324219,0.642929196357727,0.4891866445541382,0.5352170467376709
A Mutual Information Maximization Perspective of Language Representation Learning | OpenReview,3,0.11328101817232251,0.13043478260869565,0.13949918931928906,0.15458937198067632,0.4954913357893626,0.5598345994949341,0.5694661339124044,0.6131786108016968
A Neural Dirichlet Process Mixture Model for Task-Free Continual Learning | OpenReview,3,0.12437750397873099,0.13782051282051283,0.12352060599392538,0.14545454545454545,0.7154603401819865,0.7460716366767883,0.2906455596288045,0.31667113304138184
A New Multi-input Model with the Attention Mechanism for Text Classification | OpenReview,3,0.1242636165577342,0.1437908496732026,0.1138979527473094,0.1336206896551724,0.6407377322514852,0.6574077606201172,0.4837905466556549,0.5852747559547424
A new perspective in understanding of Adam-Type algorithms and beyond | OpenReview,3,0.12730227386953807,0.14893617021276595,0.15844891808658398,0.1702127659574468,0.5751571655273438,0.7847057580947876,0.6323484182357788,0.7292463779449463
A NEW POINTWISE CONVOLUTION IN DEEP NEURAL NETWORKS THROUGH EXTREMELY FAST AND NON PARAMETRIC TRANSFORMS | OpenReview,3,0.14354185884036333,0.16733067729083664,0.1511255417442443,0.17269076305220885,0.7115925153096517,0.7589521408081055,0.6071127851804098,0.6259066462516785
A Non-asymptotic comparison of SVRG and SGD: tradeoffs between compute and speed | OpenReview,3,0.12740817335026378,0.1396508728179551,0.13654751740037285,0.14181818181818182,0.6724819739659628,0.7475035190582275,0.49238941073417664,0.5567147731781006
A Novel Analysis Framework of Lower Complexity Bounds for Finite-Sum Optimization | OpenReview,3,0.14907756205930647,0.15270935960591134,0.15838531015271465,0.16595744680851063,0.6351289947827657,0.6946575045585632,0.5342264374097189,0.5761533379554749
A novel Bayesian estimation-based word embedding model for sentiment analysis | OpenReview,3,0.16693512837701108,0.1894273127753304,0.2000667102565915,0.2074468085106383,0.6329069137573242,0.6475690603256226,0.6673858563105265,0.6811851859092712
A Perturbation Analysis of Input Transformations for Adversarial Attacks | OpenReview,3,0.10821708826509481,0.12030075187969924,0.1544670739908027,0.17153284671532848,0.6947797934214274,0.7658253908157349,0.6818387905756632,0.7578693628311157
A Probabilistic Formulation of Unsupervised Text Style Transfer | OpenReview,3,0.1341946985690828,0.13793103448275862,0.12801840016932023,0.1477832512315271,0.6591902573903402,0.7646405696868896,0.6856148838996887,0.7447119355201721
A Quality-Diversity Controllable GAN for Text Generation | OpenReview,3,0.11830101633200979,0.12955465587044535,0.15611489261841777,0.18840579710144928,0.6589820782343546,0.7428632974624634,0.6584062774976095,0.7525379657745361
A Random Matrix Perspective on Mixtures of Nonlinearities in High Dimensions | OpenReview,3,0.1294450367543909,0.14084507042253522,0.1488244806968713,0.15625,0.4886358678340912,0.5589753985404968,0.4983873466650645,0.609394907951355
A shallow feature extraction network with a large receptive field for stereo matching tasks | OpenReview,3,0.1425898398789965,0.17045454545454544,0.13018306768306767,0.13942307692307693,0.6302597721417745,0.7517074346542358,0.5661652485529581,0.687140166759491
A Signal Propagation Perspective for Pruning Neural Networks at Initialization | OpenReview,3,0.16173097569424502,0.17793594306049823,0.13830204202844576,0.17454545454545456,0.7509085337320963,0.7793483734130859,0.612413207689921,0.6153910756111145
A SIMPLE AND EFFECTIVE FRAMEWORK FOR PAIRWISE DEEP METRIC LEARNING | OpenReview,3,0.13325130800852955,0.15625,0.1762435368889023,0.1926605504587156,0.7010748982429504,0.7439767718315125,0.7109741568565369,0.7351164221763611
A Simple and Scalable Shape Representation for 3D Reconstruction | OpenReview,3,0.14699019304700245,0.19534883720930232,0.14649054369078057,0.171875,0.5938152074813843,0.6898839473724365,0.4468255639076233,0.5376027822494507
A Simple Approach to the Noisy Label Problem Through the Gambler*s Loss | OpenReview,3,0.15208122677018235,0.1564245810055866,0.13376367812572093,0.15472779369627507,0.48105432589848834,0.5903584957122803,0.5112343629201254,0.6404916048049927
A Simple Dynamic Learning Rate Tuning Algorithm For Automated Training of DNNs | OpenReview,3,0.09961912394993246,0.11452513966480447,0.1431185248550518,0.15476190476190477,0.7142572005589803,0.7623672485351562,0.3389613727728526,0.4023821949958801
A Simple Randomization Technique for Generalization in Deep Reinforcement Learning | OpenReview,3,0.13187321105204744,0.13622291021671826,0.1450076866982912,0.16996047430830039,0.544318288564682,0.6346073150634766,0.4952455361684163,0.5400193929672241
A Simple Recurrent Unit with Reduced Tensor Product Representations | OpenReview,3,0.1266805421694907,0.15204678362573099,0.18412270034040237,0.2012987012987013,0.649298628171285,0.7106889486312866,0.6995873053868612,0.7590304613113403
A Simple Technique to Enable Saliency Methods to Pass the Sanity Checks | OpenReview,3,0.1257623199645789,0.15286624203821655,0.133501643284252,0.13736263736263737,0.675326923529307,0.7542318105697632,0.6983589331309,0.7338799238204956
A SPIKING SEQUENTIAL MODEL: RECURRENT LEAKY INTEGRATE-AND-FIRE | OpenReview,3,0.12590775862621564,0.1443850267379679,0.18656182845822347,0.19391634980988592,0.6719205975532532,0.7871373295783997,0.6374231974283854,0.6926116943359375
A Stochastic Derivative Free Optimization Method with Momentum | OpenReview,3,0.1417821683074198,0.18407960199004975,0.12346198213661003,0.15841584158415842,0.66151096423467,0.7203050255775452,0.6023481885592142,0.6962682604789734
A Stochastic Trust Region Method for Non-convex Minimization | OpenReview,4,0.13644536801757182,0.14485981308411214,0.1385003900891424,0.1791530944625407,0.7093500047922134,0.7771487832069397,0.4593411609530449,0.58002108335495
A TARGET-AGNOSTIC ATTACK ON DEEP MODELS: EXPLOITING SECURITY VULNERABILITIES OF TRANSFER LEARNING | OpenReview,3,0.1107993936383767,0.12429378531073447,0.1540986949682602,0.178743961352657,0.6351833939552307,0.6572589874267578,0.6403282483418783,0.6746350526809692
A Theoretical Analysis of Deep Q-Learning | OpenReview,3,0.14168988243552866,0.22598870056497175,0.16219007603027238,0.18006430868167203,0.7274190783500671,0.7505351901054382,0.5624844431877136,0.5782554149627686
A Theoretical Analysis of the Number of Shots in Few-Shot Learning | OpenReview,3,0.11352519644802077,0.1206896551724138,0.1299786996001389,0.16475095785440613,0.678222119808197,0.749841570854187,0.5658526221911112,0.60718834400177
A Theory of Usable Information under Computational Constraints | OpenReview,2,0.10878610840636158,0.1160337552742616,0.13847273975912808,0.1401673640167364,0.6053384840488434,0.6304289698600769,0.5896710157394409,0.6006560325622559
A Training Scheme for the Uncertain Neuromorphic Computing Chips | OpenReview,3,0.1211650034810861,0.14838709677419354,0.11876109686328666,0.13138686131386862,0.43265714682638645,0.6884359121322632,0.3840513974428177,0.584519624710083
