base_rl,trn_rl
0.18455743879472697,0.1639344262295082
0.21256038647342992,0.10862619808306709
0.16558441558441558,0.14950166112956811
0.19900497512437812,0.2126126126126126
0.16975308641975306,0.14634146341463414
0.1607843137254902,0.15778251599147122
0.16541353383458646,0.20283018867924527
0.15292353823088456,0.16191904047976013
0.20654911838790932,0.15737704918032788
0.15644820295983086,0.15841584158415842
0.17411764705882354,0.16483516483516486
0.1927710843373494,0.12681159420289853
0.12979351032448377,0.10945273631840796
0.14044943820224717,0.14649681528662417
0.22302158273381295,0.16342412451361865
0.1610738255033557,0.14869888475836432
0.16333333333333333,0.1198501872659176
0.15602836879432622,0.13675213675213677
0.20463320463320464,0.128
0.16537467700258396,0.17090069284064666
0.135,0.1329923273657289
0.1391304347826087,0.1267387944358578
0.18181818181818182,0.1484992101105845
0.144,0.128686327077748
0.17058823529411765,0.1904761904761905
0.17472118959107807,0.15807560137457047
0.160655737704918,0.1625207296849088
0.1749408983451537,0.15447154471544716
0.1813953488372093,0.1902552204176334
0.1559888579387187,0.14871794871794874
0.18627450980392157,0.18615751789976134
0.15849056603773584,0.1726078799249531
0.11188811188811189,0.12018140589569161
0.16400000000000003,0.16393442622950816
0.17142857142857146,0.136986301369863
0.17543859649122806,0.14814814814814817
0.17886178861788618,0.16363636363636364
0.14049586776859507,0.1694214876033058
0.16326530612244897,0.20448877805486285
0.1907216494845361,0.14501510574018125
0.153125,0.16796267496111975
0.19886363636363633,0.15342465753424658
0.14014598540145987,0.11003236245954691
0.15158924205378976,0.13989637305699484
0.14973262032085563,0.14130434782608697
0.17857142857142858,0.14893617021276595
0.19246861924686193,0.16560509554140126
0.1643835616438356,0.14933333333333332
0.15693430656934307,0.16815742397137745
0.13217391304347828,0.15705128205128205
0.1655773420479303,0.1801470588235294
0.1704781704781705,0.15652173913043477
0.17405582922824306,0.15673981191222572
0.16523235800344233,0.19473684210526315
0.14619883040935672,0.2962962962962963
0.19718309859154928,0.16442953020134227
0.15167548500881836,0.11956521739130434
0.17857142857142855,0.1814254859611231
0.13672496025437203,0.16243654822335027
0.15748031496062992,0.1477045908183633
0.14814814814814817,0.1694290976058932
0.13048128342245988,0.11312217194570134
0.15605095541401273,0.1276595744680851
0.15189873417721517,0.20714285714285716
0.1639344262295082,0.16062176165803108
0.21311475409836064,0.21411192214111924
0.19957537154989385,0.1557177615571776
0.165938864628821,0.16926503340757237
0.17632241813602015,0.1687763713080169
0.21359223300970875,0.17768595041322316
0.15051020408163265,0.09696969696969697
0.12217795484727756,0.12436548223350254
0.21639344262295082,0.1623931623931624
0.18673218673218672,0.2105263157894737
0.1254437869822485,0.14754098360655737
0.16058394160583941,0.17102137767220904
0.18328840970350405,0.20238095238095238
0.18259023354564755,0.16157205240174674
0.1833060556464812,0.14352574102964116
0.21395348837209302,0.14718614718614717
0.18324607329842932,0.16129032258064516
0.18181818181818182,0.14957264957264957
0.15160349854227403,0.17094017094017094
0.16822429906542055,0.171990171990172
0.15952732644017725,0.11483253588516745
0.15625,0.1893491124260355
0.1842696629213483,0.17449664429530198
0.1726315789473684,0.15609756097560976
0.16203703703703706,0.13020833333333334
0.17543859649122806,0.10869565217391303
0.16637168141592917,0.15157894736842104
0.16236162361623618,0.16279069767441862
0.19693654266958424,0.17316017316017315
0.1602787456445993,0.16783216783216784
0.15981735159817353,0.13333333333333333
0.20930232558139536,0.13513513513513514
0.12262156448202959,0.11529933481152994
0.15955473098330242,0.1804788213627993
0.12131147540983608,0.1510673234811166
0.1656050955414013,0.17085427135678394
0.15384615384615385,0.1696658097686375
0.15384615384615385,0.17592592592592596
0.18734177215189873,0.17582417582417584
0.14859437751004018,0.12830188679245283
0.15300546448087432,0.16541353383458648
0.12041884816753926,0.10576923076923077
0.1564885496183206,0.12442396313364056
0.1841269841269841,0.1883408071748879
0.17475728155339806,0.1551020408163265
0.12571428571428572,0.14814814814814814
0.24543080939947778,0.19597989949748743
0.15853658536585363,0.16595744680851063
0.1908713692946058,0.14814814814814814
0.1603563474387528,0.14833759590792836
0.16129032258064518,0.19310344827586207
0.17886178861788615,0.17414248021108178
0.1566579634464752,0.19631901840490798
0.1730769230769231,0.17846153846153845
0.1572052401746725,0.15384615384615385
0.19172113289760345,0.17373737373737375
0.2138364779874214,0.1922196796338673
0.1836734693877551,0.12641083521444696
0.1746880570409982,0.14130434782608697
0.1602914389799636,0.16544117647058823
0.18058690744920997,0.10989010989010989
0.15962441314553988,0.1510015408320493
0.1981424148606811,0.1676300578034682
0.14587332053742802,0.14048059149722736
0.1306532663316583,0.16521739130434784
0.13441483198146004,0.12811387900355872
0.1508295625942685,0.1375
0.15,0.15973377703826958
0.15042735042735042,0.15384615384615385
0.1867145421903052,0.15533980582524273
0.1633888048411498,0.13080895008605853
0.19570405727923626,0.16625916870415647
0.14777070063694267,0.11748633879781421
0.16083916083916083,0.14579439252336449
0.17361111111111113,0.174496644295302
0.1559633027522936,0.13829787234042554
0.16387337057728119,0.1723076923076923
0.16,0.16872427983539093
0.1240768094534712,0.09036144578313254
0.1491395793499044,0.12440191387559807
0.13285457809694792,0.16091954022988506
0.17337461300309595,0.2222222222222222
0.16776315789473684,0.14457831325301204
0.16666666666666666,0.1947565543071161
0.22222222222222224,0.19277108433734938
0.11943793911007025,0.12083847102342789
0.16417910447761194,0.1276595744680851
0.17128463476070527,0.11392405063291138
0.15798922800718132,0.12815533980582525
0.15757575757575756,0.16176470588235292
0.1787941787941788,0.16633663366336635
0.16774193548387098,0.15702479338842976
0.14017094017094017,0.127208480565371
0.18357487922705312,0.14925373134328357
0.14339622641509434,0.15856777493606136
0.1590909090909091,0.1796116504854369
0.14855072463768115,0.1531393568147014
0.17165668662674652,0.12
0.17313432835820897,0.14193548387096777
0.18137254901960784,0.16910569105691056
0.1302681992337165,0.1652542372881356
0.19808306709265175,0.10922787193973633
0.1484375,0.13333333333333333
0.2320675105485232,0.1837160751565762
0.1299145299145299,0.1245674740484429
0.18252427184466016,0.13716814159292037
0.16326530612244897,0.10576923076923078
0.17177914110429449,0.14457831325301207
0.1753653444676409,0.1896162528216704
0.21545667447306788,0.18181818181818182
0.17256637168141592,0.12448132780082986
0.14106583072100315,0.12237762237762238
0.17543859649122806,0.12105263157894738
0.18436873747494992,0.13242009132420093
0.14383561643835616,0.14492753623188406
0.19130434782608693,0.2215743440233236
0.16119402985074627,0.1411192214111922
0.1761006289308176,0.17120622568093385
0.14893617021276595,0.11875000000000002
0.1681260945709282,0.13852813852813853
0.1838565022421525,0.1223404255319149
0.15075376884422112,0.16249999999999998
0.1804878048780488,0.1596638655462185
0.13826366559485528,0.12520593080724876
0.17900172117039587,0.12060301507537687
0.2055137844611529,0.20720720720720723
0.18528610354223432,0.13680781758957655
0.13276231263383295,0.16565656565656564
0.16291161178509533,0.1728395061728395
0.17433414043583534,0.1752808988764045
0.10289389067524114,0.06960556844547565
0.18627450980392157,0.1574074074074074
0.1275,0.09239130434782608
0.1723076923076923,0.1565017261219793
0.16990291262135926,0.17218543046357615
0.13389121338912136,0.12367149758454107
0.13056379821958455,0.15316642120765833
0.14481409001956946,0.15822784810126583
0.19999999999999998,0.17117117117117117
0.16874999999999998,0.1322751322751323
0.1453396524486572,0.15501519756838905
0.1793478260869565,0.1484375
0.2,0.14910025706940874
0.1320754716981132,0.15384615384615388
0.1389728096676737,0.16428571428571426
0.12568306010928962,0.11972789115646257
0.22488038277511962,0.1839080459770115
0.15353535353535352,0.15151515151515152
0.16042780748663102,0.17410714285714285
0.17331022530329288,0.1183673469387755
0.20861678004535147,0.15060240963855423
0.16666666666666666,0.22988505747126436
0.150087260034904,0.13598673300165837
0.18181818181818182,0.1716171617161716
0.16338880484114976,0.15510204081632656
0.17573221757322174,0.13846153846153844
0.0945945945945946,0.10901001112347052
0.16091954022988506,0.1294363256784969
0.22900763358778625,0.16666666666666669
0.14504881450488144,0.15384615384615385
0.1653225806451613,0.15625
0.10877192982456141,0.11940298507462686
0.17610062893081763,0.15853658536585366
0.1020408163265306,0.1408450704225352
0.1898989898989899,0.17708333333333331
0.14234875444839856,0.15057915057915056
0.16187050359712232,0.11464968152866241
0.17571059431524547,0.16083916083916083
0.17695473251028804,0.15757575757575756
0.1468253968253968,0.15441176470588236
0.1513513513513514,0.1614497528830313
0.1641025641025641,0.16019417475728157
0.14556040756914118,0.1753246753246753
0.1775147928994083,0.18122977346278318
0.1471698113207547,0.1697722567287785
0.22095238095238093,0.15867158671586717
0.189010989010989,0.1565995525727069
0.1692650334075724,0.1594533029612756
0.17910447761194026,0.16279069767441862
0.16923076923076924,0.16181229773462782
0.1693121693121693,0.16040100250626568
0.166351606805293,0.1651376146788991
0.12393681652490886,0.09846153846153846
0.15915119363395225,0.14163090128755368
0.16741405082212257,0.15458937198067635
0.14814814814814814,0.1563342318059299
0.168141592920354,0.19313304721030045
0.16551724137931034,0.1373134328358209
0.14987080103359174,0.16083916083916083
0.1584905660377358,0.11336032388663966
0.1869158878504673,0.13411078717201166
0.15970961887477314,0.1312910284463895
0.13722627737226278,0.1401098901098901
0.1793372319688109,0.16107382550335572
0.1518987341772152,0.17486338797814208
0.13390313390313388,0.11394302848575713
0.20812182741116753,0.17333333333333334
0.134185303514377,0.1597444089456869
0.14426229508196722,0.15640599001663893
0.20069204152249137,0.17741935483870971
0.158974358974359,0.1686182669789227
0.19108280254777069,0.20865139949109412
0.17029702970297025,0.15891472868217055
0.1896162528216704,0.17684210526315788
0.14209591474245117,0.13057324840764328
0.17716535433070865,0.18181818181818185
0.16718266253869968,0.2204081632653061
0.1585081585081585,0.16470588235294117
0.18064516129032257,0.1341991341991342
0.19178082191780824,0.17847769028871394
0.1528925619834711,0.1541950113378685
0.13302752293577982,0.13043478260869565
0.13978494623655915,0.16623376623376623
0.17647058823529413,0.16286644951140064
0.17010309278350513,0.17049180327868851
0.20137299771167047,0.1847826086956522
0.137221269296741,0.1407035175879397
0.13553719008264464,0.1301989150090416
0.18471337579617833,0.20553359683794467
0.15442561205273067,0.1693693693693694
0.17941952506596306,0.15
0.13883677298311445,0.1686746987951807
0.16595744680851066,0.1535181236673774
0.1754385964912281,0.15894039735099338
0.17068645640074212,0.18055555555555558
0.15948275862068964,0.189873417721519
0.13648293963254593,0.10601719197707736
0.16625916870415647,0.16058394160583941
0.14802631578947367,0.1485148514851485
0.15245009074410162,0.1749271137026239
0.14968814968814967,0.1547277936962751
0.1762295081967213,0.15602836879432624
0.19230769230769232,0.1579961464354528
0.18404907975460125,0.1389578163771712
0.17903930131004367,0.13648293963254593
0.15270935960591134,0.18032786885245902
0.20705882352941177,0.20803782505910162
0.16572504708097927,0.16367265469061876
0.1594533029612756,0.15083798882681562
0.14788732394366194,0.1206225680933852
0.13479052823315119,0.1176470588235294
0.14193548387096774,0.12987012987012989
0.16,0.14893617021276595
0.13284132841328414,0.11690363349131123
0.18421052631578946,0.15047021943573669
0.1726078799249531,0.08908685968819599
0.16283185840707964,0.13127413127413126
0.1460101867572156,0.11993517017828202
0.1455223880597015,0.13916500994035785
0.16591928251121077,0.1574468085106383
0.19327731092436976,0.1596009975062344
0.12923076923076923,0.1802575107296137
0.17857142857142858,0.15053763440860218
0.16666666666666663,0.17509727626459148
0.14285714285714285,0.15486725663716813
0.14316702819956614,0.14184397163120568
0.14516129032258066,0.13015873015873017
0.1432664756446991,0.11093502377179082
0.171021377672209,0.1507246376811594
0.13049645390070921,0.1251664447403462
0.14432989690721648,0.1487603305785124
0.15523465703971118,0.1195876288659794
0.15555555555555556,0.16758544652701213
0.13642960812772134,0.1187800963081862
0.1551433389544688,0.11133200795228627
0.17777777777777776,0.15034965034965034
0.1474036850921273,0.14175654853620953
